frame_id,timestamp_ms,c2w_m00,c2w_m01,c2w_m02,c2w_m03,c2w_m10,c2w_m11,c2w_m12,c2w_m13,c2w_m20,c2w_m21,c2w_m22,c2w_m23,c2w_m30,c2w_m31,c2w_m32,c2w_m33,camera_model,camera_fx,camera_fy,camera_cx,camera_cy,camera_radial_k1,camera_radial_k2,camera_radial_k3,camera_radial_k4,camera_radial_k5,camera_radial_k6,camera_tangential_p1,camera_tangential_p2,input_keys,input_actions,input_mouse_buttons,input_mouse_dx,input_mouse_dy
165,5833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
166,5867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
167,5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
168,5933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
169,5967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
170,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
171,6033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
172,6067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
173,6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
174,6133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
175,6167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
176,6200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
177,6233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
178,6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
179,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
180,6333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
181,6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
182,6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
183,6467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
